id,user_id,title,description,address,price,distance,apartment_size,room_size,roommates,bathrooms
37,69,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",980.44,2.2,4.9,14.1,2,2
38,70,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Rosenbergstrasse 51, 9000 St. Gallen",1502.12,1.0,3.2,13.7,3,2
39,72,Stylish Shared Apartment,A quiet and peaceful flat ideal for study and relaxation.,"Rosenbergstrasse 51, 9000 St. Gallen",1867.21,2.3,2.7,24.3,4,2
40,73,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1684.59,0.9,3.3,23.0,4,1
41,77,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1389.21,1.3,4.9,22.2,3,1
42,81,Cozy Apartment in City Center,Affordable option with modern furnishings and great location.,"Gallusstrasse 10, 9000 St. Gallen",1559.66,0.8,3.6,14.1,2,2
43,83,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Marktplatz 5, 9000 St. Gallen",1194.78,1.4,2.5,25.0,1,1
44,84,Spacious Flat with Scenic Views,"Perfect for students, with all necessary amenities nearby.","Rosenbergstrasse 51, 9000 St. Gallen",925.72,2.7,4.8,17.2,4,2
45,85,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Brühlgasse 20, 9000 St. Gallen",1378.89,0.9,4.1,16.1,1,1
46,86,Spacious Flat with Scenic Views,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1877.01,1.7,4.4,22.0,1,2
47,88,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",926.14,3.0,4.7,16.1,4,1
48,89,Spacious Flat with Scenic Views,"Spacious rooms and modern appliances, perfect for group living.","Gallusstrasse 10, 9000 St. Gallen",1650.12,2.9,3.1,14.1,2,2
49,91,Comfortable and Quiet Flat,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1778.81,2.3,2.6,24.4,1,2
50,92,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",1533.84,2.9,4.6,14.5,1,2
51,94,Comfortable and Quiet Flat,"Perfect for students, with all necessary amenities nearby.","Marktplatz 5, 9000 St. Gallen",1375.28,2.6,4.3,14.0,3,1
52,95,Cozy Apartment in City Center,"Spacious rooms and modern appliances, perfect for group living.","Brühlgasse 20, 9000 St. Gallen",1766.0,2.3,2.3,12.1,3,2
53,96,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1115.7,0.9,4.3,15.6,1,2
54,97,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Neugasse 7, 9000 St. Gallen",1739.99,1.2,2.3,11.6,4,1
55,100,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Brühlgasse 20, 9000 St. Gallen",1354.33,1.7,3.5,17.4,2,2
56,103,Modern and Affordable Flat,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",1502.39,1.7,3.8,17.3,3,1
57,105,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1139.13,0.8,2.5,22.2,2,1
58,109,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Marktplatz 5, 9000 St. Gallen",800.13,1.1,3.2,11.5,2,2
59,110,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",1708.24,2.8,4.5,20.6,1,2
60,116,Spacious Flat with Scenic Views,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1867.25,0.9,4.0,21.1,1,2
61,117,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Gallusstrasse 10, 9000 St. Gallen",1864.01,1.6,4.7,17.2,3,2
62,119,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",1947.79,2.0,3.1,23.5,3,1
63,123,Stylish Shared Apartment,A quiet and peaceful flat ideal for study and relaxation.,"Marktplatz 5, 9000 St. Gallen",1554.48,2.0,4.2,13.5,1,1
64,124,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Brühlgasse 20, 9000 St. Gallen",1141.55,0.8,2.5,20.5,3,2
65,125,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Rosenbergstrasse 51, 9000 St. Gallen",1058.03,1.4,4.1,17.3,2,2
66,126,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Brühlgasse 20, 9000 St. Gallen",1064.28,0.8,3.8,11.2,1,1
67,127,Stylish Shared Apartment,A quiet and peaceful flat ideal for study and relaxation.,"Rosenbergstrasse 51, 9000 St. Gallen",1725.47,2.7,3.2,18.9,1,1
68,128,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",1220.18,0.7,2.8,24.4,4,1
69,129,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Brühlgasse 20, 9000 St. Gallen",962.99,2.9,2.3,12.5,3,2
70,137,Spacious Flat with Scenic Views,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",1995.29,1.5,2.4,22.2,3,2
71,139,Spacious Flat with Scenic Views,"Perfect for students, with all necessary amenities nearby.","Neugasse 7, 9000 St. Gallen",1358.77,3.0,3.3,13.0,4,2
72,141,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1623.49,2.1,2.5,21.7,4,1
73,143,Cozy Apartment in City Center,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1940.35,0.5,3.5,22.8,1,1
74,144,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",875.22,1.1,3.3,13.8,2,2
75,145,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",1134.01,2.7,2.5,19.9,4,1
76,147,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Rosenbergstrasse 51, 9000 St. Gallen",1521.38,2.0,2.6,16.9,3,2
77,148,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",880.38,1.9,4.9,17.1,3,1
78,150,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1569.29,1.7,4.9,14.0,1,1
79,151,Cozy Apartment in City Center,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1543.9,2.9,4.9,18.6,1,1
80,152,Cozy Apartment in City Center,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1241.78,2.2,2.2,21.3,1,1
81,153,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Gallusstrasse 10, 9000 St. Gallen",1856.13,0.6,3.8,11.7,4,1
82,154,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",960.74,0.9,3.4,20.6,3,2
83,155,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1446.35,1.2,2.6,25.0,4,1
84,156,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",1994.21,2.9,2.8,11.9,1,2
85,157,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1559.47,2.3,4.3,21.2,3,1
86,159,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1004.37,2.3,4.5,10.3,3,2
87,160,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Brühlgasse 20, 9000 St. Gallen",1781.5,2.4,3.9,15.8,4,1
88,164,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Brühlgasse 20, 9000 St. Gallen",1854.82,2.0,3.7,11.1,4,1
89,167,Spacious Flat with Scenic Views,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1100.83,1.9,3.7,10.1,4,2
90,170,Modern and Affordable Flat,"Spacious rooms and modern appliances, perfect for group living.","Neugasse 7, 9000 St. Gallen",1151.23,2.4,2.5,21.7,4,1
91,172,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1430.85,2.5,2.4,21.4,1,1
92,175,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1331.04,1.2,2.1,17.2,2,2
93,176,Comfortable and Quiet Flat,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1336.4,2.2,2.0,18.1,2,1
94,177,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Rosenbergstrasse 51, 9000 St. Gallen",886.26,2.9,2.3,14.9,2,1
95,178,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1860.11,2.3,4.8,11.2,1,2
96,180,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1960.78,2.9,2.4,19.9,3,2
97,181,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",909.84,1.1,4.1,10.4,2,2
98,185,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Marktplatz 5, 9000 St. Gallen",1278.75,3.0,3.9,23.6,1,2
99,186,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",926.2,1.5,4.0,17.0,4,2
100,187,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1305.18,1.0,3.4,12.9,1,1
101,189,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1037.82,0.9,3.1,18.8,4,1
102,191,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1114.35,2.0,3.9,14.3,4,1
103,193,Modern and Affordable Flat,"Perfect for students, with all necessary amenities nearby.","Rosenbergstrasse 51, 9000 St. Gallen",1983.52,0.9,4.0,24.9,3,1
104,197,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Gallusstrasse 10, 9000 St. Gallen",817.01,2.6,4.0,24.2,3,1
105,201,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Marktplatz 5, 9000 St. Gallen",1246.94,1.8,2.7,10.9,3,2
106,202,Modern and Affordable Flat,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",1762.07,2.9,4.1,12.4,2,1
107,203,Spacious Flat with Scenic Views,"Perfect for students, with all necessary amenities nearby.","Marktplatz 5, 9000 St. Gallen",826.62,1.7,4.9,15.2,4,1
108,205,Modern and Affordable Flat,"Spacious rooms and modern appliances, perfect for group living.","Gallusstrasse 10, 9000 St. Gallen",1226.37,2.0,3.6,19.0,4,2
109,207,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1682.73,1.0,3.4,17.4,4,1
110,209,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Gallusstrasse 10, 9000 St. Gallen",973.64,1.2,2.7,10.8,3,2
111,210,Spacious Flat with Scenic Views,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1074.72,1.8,3.3,12.0,4,2
112,211,Comfortable and Quiet Flat,"Spacious rooms and modern appliances, perfect for group living.","Marktplatz 5, 9000 St. Gallen",973.87,2.9,3.6,17.8,2,1
113,212,Cozy Apartment in City Center,"Perfect for students, with all necessary amenities nearby.","Marktplatz 5, 9000 St. Gallen",905.42,1.5,2.2,18.1,4,1
114,213,Spacious Flat with Scenic Views,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",1031.09,1.5,2.5,23.2,3,2
115,214,Cozy Apartment in City Center,A quiet and peaceful flat ideal for study and relaxation.,"Rosenbergstrasse 51, 9000 St. Gallen",913.69,2.8,3.9,11.1,4,1
116,215,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",943.96,2.1,4.1,16.3,2,1
117,217,Cozy Apartment in City Center,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1474.53,2.3,4.7,20.3,2,2
118,218,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Brühlgasse 20, 9000 St. Gallen",1971.26,2.4,2.0,24.3,3,1
119,221,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",1824.95,1.1,3.9,19.1,4,2
120,222,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Rosenbergstrasse 51, 9000 St. Gallen",1229.76,1.3,4.6,10.5,4,2
121,223,Modern and Affordable Flat,"Spacious rooms and modern appliances, perfect for group living.","Neugasse 7, 9000 St. Gallen",1619.58,2.9,3.5,23.1,4,1
122,225,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Rosenbergstrasse 51, 9000 St. Gallen",1668.64,2.4,2.8,14.7,3,2
123,226,Modern and Affordable Flat,"Perfect for students, with all necessary amenities nearby.","Neugasse 7, 9000 St. Gallen",1390.92,1.0,4.3,24.5,4,2
124,230,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Marktplatz 5, 9000 St. Gallen",1881.41,1.8,2.1,10.7,2,1
125,231,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Gallusstrasse 10, 9000 St. Gallen",835.99,1.9,4.4,20.2,2,2
126,232,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1041.15,1.1,2.4,20.9,2,1
127,237,Spacious Flat with Scenic Views,A quiet and peaceful flat ideal for study and relaxation.,"Brühlgasse 20, 9000 St. Gallen",1075.56,1.9,4.9,22.1,1,2
128,238,Comfortable and Quiet Flat,"Spacious rooms and modern appliances, perfect for group living.","Neugasse 7, 9000 St. Gallen",1459.79,2.0,4.4,10.7,4,2
129,239,Comfortable and Quiet Flat,"Perfect for students, with all necessary amenities nearby.","Brühlgasse 20, 9000 St. Gallen",1619.47,2.3,4.2,19.4,2,1
130,242,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Rosenbergstrasse 51, 9000 St. Gallen",938.57,0.8,3.5,22.7,1,1
131,244,Cozy Apartment in City Center,"Perfect for students, with all necessary amenities nearby.","Rosenbergstrasse 51, 9000 St. Gallen",1485.89,2.7,2.5,24.2,4,2
132,245,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1107.94,1.2,4.8,10.3,1,2
133,249,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",1237.33,1.8,3.2,22.7,3,2
134,255,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",1256.21,1.2,3.3,11.7,4,1
135,258,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",880.21,2.4,2.9,19.8,1,1
136,259,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1192.65,2.7,5.0,18.8,3,1
137,260,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Brühlgasse 20, 9000 St. Gallen",1192.3,2.3,4.6,16.1,1,2
138,264,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Brühlgasse 20, 9000 St. Gallen",1459.11,2.7,4.1,10.8,2,1
139,265,Comfortable and Quiet Flat,"Perfect for students, with all necessary amenities nearby.","Brühlgasse 20, 9000 St. Gallen",932.5,2.7,2.7,20.2,2,2
140,266,Modern and Affordable Flat,"Spacious rooms and modern appliances, perfect for group living.","Brühlgasse 20, 9000 St. Gallen",982.11,0.6,4.4,17.3,1,1
141,269,Comfortable and Quiet Flat,"Spacious rooms and modern appliances, perfect for group living.","Rosenbergstrasse 51, 9000 St. Gallen",869.54,2.1,4.3,23.0,4,2
142,273,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1727.01,1.5,2.6,11.9,4,2
143,274,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Brühlgasse 20, 9000 St. Gallen",1556.48,1.7,2.4,22.7,4,2
144,276,Cozy Apartment in City Center,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1823.06,1.8,3.2,12.8,2,2
145,277,Spacious Flat with Scenic Views,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1863.91,1.8,3.0,19.1,4,2
146,278,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Neugasse 7, 9000 St. Gallen",1619.51,1.3,3.8,18.9,2,2
147,279,Comfortable and Quiet Flat,"Perfect for students, with all necessary amenities nearby.","Rosenbergstrasse 51, 9000 St. Gallen",1968.3,2.1,4.0,10.3,4,2
148,281,Cozy Apartment in City Center,"Spacious rooms and modern appliances, perfect for group living.","Neugasse 7, 9000 St. Gallen",1917.56,1.8,3.0,19.5,3,1
149,284,Stylish Shared Apartment,Affordable option with modern furnishings and great location.,"Rosenbergstrasse 51, 9000 St. Gallen",1016.04,2.5,3.1,17.4,1,1
150,287,Spacious Flat with Scenic Views,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1434.55,2.5,2.5,19.4,4,1
151,288,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Gallusstrasse 10, 9000 St. Gallen",1314.25,2.9,4.7,21.1,3,2
152,290,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1009.7,0.5,4.9,13.2,3,1
153,291,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",1050.53,1.0,4.9,12.1,2,1
154,293,Stylish Shared Apartment,"Spacious rooms and modern appliances, perfect for group living.","Neugasse 7, 9000 St. Gallen",1468.22,2.2,4.0,15.9,4,2
155,294,Modern and Affordable Flat,Affordable option with modern furnishings and great location.,"Neugasse 7, 9000 St. Gallen",1258.05,1.4,3.1,10.6,2,1
156,295,Comfortable and Quiet Flat,"Perfect for students, with all necessary amenities nearby.","Brühlgasse 20, 9000 St. Gallen",1880.44,2.1,4.7,10.5,2,2
157,296,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Marktplatz 5, 9000 St. Gallen",1947.47,2.4,3.0,11.4,2,2
158,298,Spacious Flat with Scenic Views,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",976.81,2.3,2.9,13.2,3,2
159,304,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1233.77,2.4,3.9,10.8,2,2
160,306,Stylish Shared Apartment,"Shared apartment with friendly roommates, great for networking.","Rosenbergstrasse 51, 9000 St. Gallen",1345.38,2.5,3.1,22.6,1,1
161,307,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Marktplatz 5, 9000 St. Gallen",1730.77,2.7,3.7,10.7,1,1
162,309,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Gallusstrasse 10, 9000 St. Gallen",824.93,1.3,2.6,10.8,2,1
163,310,Stylish Shared Apartment,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1508.22,1.3,3.1,16.7,3,2
164,311,Modern and Affordable Flat,"Spacious rooms and modern appliances, perfect for group living.","Brühlgasse 20, 9000 St. Gallen",1175.67,1.8,3.5,14.7,4,2
165,313,Modern and Affordable Flat,"Perfect for students, with all necessary amenities nearby.","Rosenbergstrasse 51, 9000 St. Gallen",1972.86,1.4,3.5,22.9,4,1
166,318,Comfortable and Quiet Flat,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1090.74,0.6,2.8,15.4,1,1
167,319,Stylish Shared Apartment,"Perfect for students, with all necessary amenities nearby.","Neugasse 7, 9000 St. Gallen",1599.04,0.7,4.5,19.7,4,1
168,320,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1553.21,2.7,2.9,18.8,1,2
169,321,Comfortable and Quiet Flat,Affordable option with modern furnishings and great location.,"Marktplatz 5, 9000 St. Gallen",917.12,1.0,3.5,16.5,4,1
170,326,Spacious Flat with Scenic Views,"Perfect for students, with all necessary amenities nearby.","Marktplatz 5, 9000 St. Gallen",1497.32,1.4,4.1,11.3,3,1
171,327,Modern and Affordable Flat,A quiet and peaceful flat ideal for study and relaxation.,"Neugasse 7, 9000 St. Gallen",1441.63,0.5,4.1,18.1,1,2
172,330,Cozy Apartment in City Center,Affordable option with modern furnishings and great location.,"Rosenbergstrasse 51, 9000 St. Gallen",840.64,2.5,4.4,15.2,2,2
173,331,Modern and Affordable Flat,"Shared apartment with friendly roommates, great for networking.","Gallusstrasse 10, 9000 St. Gallen",1753.04,2.9,2.0,18.2,4,2
